load_time,date,province,case_cumulative,recovered_cumulative,death_cumulative,geometry_x,geometry_y
2020-04-06 11:26:38 UTC,2020-04-06,Sumatera Utara,25,0,4,-837656.655154198,10246858.783830017
2020-04-06 11:26:38 UTC,2020-04-06,Sulawesi Selatan,83,9,5,1521596.837753321,9580452.7877122425
2020-04-06 11:26:38 UTC,2020-04-06,Jawa Timur,188,30,14,691206.346199013,9146255.1901167277
2020-04-06 11:26:38 UTC,2020-04-06,Banten,177,7,17,-41440.9987229228,9283764.4809985738
2020-04-06 11:26:38 UTC,2020-04-06,Jawa Tengah,120,14,18,411808.8152425295,9197545.0065468233
2020-04-06 11:26:38 UTC,2020-04-06,Jawa Barat,252,12,28,124497.9591022721,9233754.6046786122
2020-04-06 11:26:38 UTC,2020-04-06,DKI Jakarta,1124,56,95,37864.3075122269,9316027.7344999313
2020-04-07 09:01:59 UTC,2020-04-07,Sumatera Barat,18,0,0,-678652.41465160879,9904212.9756396543
2020-04-07 09:01:59 UTC,2020-04-07,Jambi,2,0,0,-325494.82600698748,9819678.0331225637
2020-04-07 09:01:59 UTC,2020-04-07,Nusa Tenggara Barat,10,0,0,1217435.4184396823,9042518.5909015369
2020-04-07 09:01:59 UTC,2020-04-07,Nusa Tenggara Timur,0,0,0,1621557.2390981733,9033865.62245923
2020-04-07 09:01:59 UTC,2020-04-07,Kalimantan Selatan,18,0,0,979759.44049741281,9728451.5041525159
2020-04-07 09:01:59 UTC,2020-04-07,Kalimantan Utara,15,0,0,1080561.3798756762,10320639.045096194
2020-04-07 09:01:59 UTC,2020-04-07,Sulawesi Tengah,4,0,0,1555988.7996185874,9836479.5651529916
2020-04-07 09:01:59 UTC,2020-04-07,Gorontalo,0,0,0,1852213.967003379,10060711.80270954
2020-04-07 09:01:59 UTC,2020-04-07,Sulawesi Barat,2,0,0,1430874.0731538553,9724957.0154999942
2020-04-07 09:01:59 UTC,2020-04-07,Maluku Utara,1,0,0,2421875.6040349426,10100517.892677717
2020-04-07 09:01:59 UTC,2020-04-07,Indonesia,34,0,0,824555.66561042564,9890452.4832352623
2020-04-07 09:01:59 UTC,2020-04-07,Riau,12,1,0,-526692.9732173899,10057166.718500379
2020-04-07 09:01:59 UTC,2020-04-07,Sulawesi Utara,5,1,0,2020059.4434185119,10146240.802463969
2020-04-07 09:01:59 UTC,2020-04-07,Sulawesi Tenggara,7,1,0,1737300.3400363862,9534489.4318688475
2020-04-07 09:01:59 UTC,2020-04-07,Maluku,1,1,0,2575900.464412041,9635838.1970520616
2020-04-07 09:01:59 UTC,2020-04-07,Kalimantan Tengah,20,4,0,742656.86106739554,9819224.05473335
2020-04-07 09:01:59 UTC,2020-04-07,Aceh,5,0,1,-1079619.7505195325,10481540.838557171
2020-04-07 09:01:59 UTC,2020-04-07,Bengkulu,2,0,1,-473856.28404502949,9576018.2041059528
2020-04-07 09:01:59 UTC,2020-04-07,Kepulauan Bangka Belitung,2,0,1,-58113.9834185409,9750017.6446174271
2020-04-07 09:01:59 UTC,2020-04-07,Lampung,12,0,1,-164375.94121973051,9453410.3507901337
2020-04-07 09:01:59 UTC,2020-04-07,Papua Barat,2,0,1,3005411.1970494082,9756542.187865112
2020-04-07 09:01:59 UTC,2020-04-07,Kalimantan Timur,31,1,1,1109683.2799407991,10051194.23595285
2020-04-07 09:01:59 UTC,2020-04-07,Kepulauan Riau,9,2,1,189276.93634231281,10433354.998017654
2020-04-07 09:01:59 UTC,2020-04-07,Sumatera Selatan,16,1,2,-260578.41738994009,9642274.76663132
2020-04-07 09:01:59 UTC,2020-04-07,Kalimantan Barat,12,2,2,513437.82667791622,9990505.3113515247
2020-04-07 09:01:59 UTC,2020-04-07,Papua,26,3,2,3860042.3514111759,9367964.9766004756
